delta_rating,map_id,delta_map_wr_windowed,map_missing_flag,LAN_flag,h2h_shrunk,h2h_count
16,2,-1.0,0,0,0,2
75,3,0.43,0,0,1,1
-36,0,0.17,0,0,0,2
98,6,1.0,0,1,0,0
-69,0,0.75,0,0,-1,1
61,6,-1.0,0,1,0,0
-32,3,0.5,0,1,0,0
-92,5,0,1,0,1,1
-53,6,0.17,0,0,0,0
11,1,-0.33,0,1,0,0
2,0,0.33,0,0,0,2
83,1,0.25,0,1,1,1
-8,4,0.16,0,0,0,0
88,4,-1.0,0,1,1,1
28,4,0,1,1,1,1
68,6,0.25,0,1,0,0
85,4,-0.08,0,0,-2,2
32,0,0.0,0,0,-1,1
14,1,0.0,0,1,3,3
-44,1,-1.0,0,1,-1,1
57,4,-1.0,0,1,1,1
29,1,-0.25,0,0,1,5
12,6,0,1,1,1,1
79,0,-1.0,0,0,-1,1
68,4,-0.38,0,0,0,2
-54,3,0.0,0,0,0,0
-56,1,0.0,0,0,0,0
-2,1,-0.2,0,1,1,1
1,2,0.47,0,0,1,3
-23,1,-0.14,0,0,-1,1
-101,3,0.5,0,1,0,0
-8,6,0,1,1,0,2
-104,3,0.8,0,1,0,2
75,2,-0.28,0,0,0,2
-34,0,0.43,0,0,0,2
-105,5,0,1,0,0,0
10,0,-1.0,0,0,0,4
10,3,-0.5,0,1,0,0
3,1,-0.24,0,1,0,2
-7,6,0,1,1,0,0
54,3,0.33,0,1,1,3
-47,5,0,1,1,0,0
-5,1,0.1,0,0,1,1
-28,1,-0.25,0,1,0,0
-85,1,0.25,0,0,-1,1
-69,3,0.43,0,0,0,0
46,4,0.0,0,0,0,0
-49,2,-1.0,0,0,0,0
-104,7,0,1,1,1,1
-96,2,1.0,0,1,1,1
3,3,1.0,0,1,-1,1
62,6,0.25,0,0,-2,4
-59,0,0.0,0,0,-1,1
8,6,0.5,0,0,0,0
-9,4,0,1,1,0,2
2,3,-0.25,0,0,-3,3
2,2,0.71,0,0,1,1
44,1,1.0,0,1,-1,3
-173,3,0.0,0,1,0,0
32,6,-0.44,0,0,0,0
-37,3,0.2,0,1,1,1
3,1,0.5,0,1,5,11
